bank_id,bank_name,bank_logo,bank_licence,product_name,product_url,rate_min,rate_max,amount_from,amount_to,period_from,period_to,currency,efficient_rate,is_special_offer,is_online_opening_possible,is_partial_withdrawal_possible,is_replenishment_possible,action_title,action_percent,action_link,capitalization,early_termination_method,rates_min,rates_max
190178,Свой Банк,https:,3223,Свой вклад с Банки.ру,https://www.banki.ru/products/deposits/deposit/25294/,13.39,13.39,30000,30000000.0,91,91.0,RUB,13.54,True,True,False,False,Бонус от суммы вклада за оформление онлайн на Банки.ру,1.6,https://www.banki.ru/specials/deposits/bonus_k_stavke_2026/,есть,по ставке до востребования,13.54,13.54
190178,Свой Банк,https:,3223,Свой вклад с Банки.ру,https://www.banki.ru/products/deposits/deposit/24800/,13.13,13.13,30000,30000000.0,181,181.0,RUB,13.49,True,True,False,False,Бонус от суммы вклада за оформление онлайн на Банки.ру,0.5,https://www.banki.ru/specials/deposits/bonus_k_stavke_2026/,есть,по ставке до востребования,13.49,13.49
190178,Свой Банк,https:,3223,Свой вклад с Банки.ру,https://www.banki.ru/products/deposits/deposit/24801/,9.57,9.57,30000,30000000.0,367,367.0,RUB,10.0,True,True,False,False,Бонус от суммы вклада за оформление онлайн на Банки.ру,0.5,https://www.banki.ru/specials/deposits/bonus_k_stavke_2026/,есть,по ставке до востребования,10.0,10.0
76620,Совкомбанк,https://cdn.banki.ru/cdn/bank/76620_modern_logo_url.svg,963,Доходный премиум на 91 день,https://www.banki.ru/products/deposits/deposit/26088/,13.5,13.5,1400000,10000000.0,91,91.0,RUB,13.5,True,True,False,False,Бонус от суммы вклада за оформление онлайн на Банки.ру,1.6,https://www.banki.ru/specials/deposits/bonus_k_stavke_2026/,нет,по ставке до востребования,13.5,13.5
76620,Совкомбанк,https://cdn.banki.ru/cdn/bank/76620_modern_logo_url.svg,963,Доходный премиум на 181 день,https://www.banki.ru/products/deposits/deposit/26136/,13.0,13.0,1400000,10000000.0,181,181.0,RUB,13.0,True,True,False,False,Бонус от суммы вклада за оформление онлайн на Банки.ру,0.5,https://www.banki.ru/specials/deposits/bonus_k_stavke_2026/,нет,на льготных условиях,13.0,13.0
76620,Совкомбанк,https://cdn.banki.ru/cdn/bank/76620_modern_logo_url.svg,963,Доходный премиум на 271 день,https://www.banki.ru/products/deposits/deposit/26137/,12.8,12.8,1400000,10000000.0,271,271.0,RUB,12.8,True,True,False,False,,,,нет,на льготных условиях,12.8,12.8
76620,Совкомбанк,https://cdn.banki.ru/cdn/bank/76620_modern_logo_url.svg,963,Доходный премиум на 365 дней,https://www.banki.ru/products/deposits/deposit/26138/,12.6,12.6,1400000,10000000.0,365,365.0,RUB,12.6,True,True,False,False,,,,нет,на льготных условиях,12.6,12.6
76620,Совкомбанк,https://cdn.banki.ru/cdn/bank/76620_modern_logo_url.svg,963,Доходный премиум на 730 дней,https://www.banki.ru/products/deposits/deposit/26139/,12.6,12.6,1400000,10000000.0,730,730.0,RUB,12.6,True,True,False,False,,,,нет,на льготных условиях,12.6,12.6
76620,Совкомбанк,https://cdn.banki.ru/cdn/bank/76620_modern_logo_url.svg,963,Доходный премиум на 1095 дней,https://www.banki.ru/products/deposits/deposit/26140/,12.5,12.5,1400000,10000000.0,1095,1095.0,RUB,12.5,True,True,False,False,,,,нет,на льготных условиях,12.5,12.5
9183,Локо-Банк,https://cdn.banki.ru/cdn/bank/9183_modern_logo_url.png,2707,Локо-Вклад. Банки.ру,https://www.banki.ru/products/deposits/deposit/24585/,13.55,13.55,300000,30000000.0,182,182.0,RUB,13.55,True,True,False,False,Бонус от суммы вклада за оформление онлайн на Банки.ру,0.5,https://www.banki.ru/specials/deposits/bonus_k_stavke_2026/,нет,по ставке до востребования,13.55,13.55
9183,Локо-Банк,https://cdn.banki.ru/cdn/bank/9183_modern_logo_url.png,2707,Локо-Вклад. Банки.ру,https://www.banki.ru/products/deposits/deposit/25856/,13.3,13.3,300000,30000000.0,95,95.0,RUB,13.3,True,True,False,False,Бонус от суммы вклада за оформление онлайн на Банки.ру,1.5,https://www.banki.ru/specials/deposits/bonus_k_stavke_2026/,нет,по ставке до востребования,13.3,13.3
9183,Локо-Банк,https://cdn.banki.ru/cdn/bank/9183_modern_logo_url.png,2707,Локо-Вклад Плюс. Банки.ру,https://www.banki.ru/products/deposits/deposit/26029/,13.3,13.3,300000,30000000.0,95,95.0,RUB,13.3,True,True,False,False,,,,нет,по ставке до востребования,13.3,13.3
