offer_uid,region_id,product_hash,is_actual,start_time,end_time
26a9babdd9d4be5aeac059cf7a676f75000a5012d524ad78734d3aad61c67179,345,38199e6a5e5c0de52be9a96034a9ac85aa3f71bb4c83aa08bdeda945cf57d9a6,False,2025-11-25 14:47:34,2025-12-11 13:38:49
6e5a8d0ec5f07c129e12fe316fe12bb2304166ad9ba041102c553cd76970c0ab,620,5b739cf261bbb4a2a19528b59fdc46408cd27b2d000a38bfd6bc715d16463f57,True,2025-12-11 13:38:49,
c378aaf156adbe4e067135bd38e6228b3b6c291b33865e0f250b6d20077fe418,620,8df8569fc29624b98d90d3e0e7837754e3570cc59becaa7f2367f380e74a9be7,True,2025-12-11 13:38:49,
eab26c05ca465f8aa0308efed5293847e2bf7f49758a63d21c14765e77402236,620,1655e06e06281570fe4a7f4842edf6469ad5e3e3a8950549d23f8a13aec17efa,True,2025-12-11 13:38:49,
f5173eea2e2965980510742a69e61cf603681e4a9ba17dc99530cfdec2511012,620,920a577be266e575fc4eb7dace3f74b9675c4c0a3f2ddd7a075110a165e795e8,True,2025-12-11 13:38:49,
3d23ff42fe74171da10d0df980e64762bb2e109e641c5f995c45e949718f59d2,620,0a970940f181b7623b6e9b3a8057673a91758eed943245ffd76c0ae430aae9af,True,2025-12-11 13:38:49,
8509fda696906d0244445c7a33d64016e1d94f5a2efac5f5429b03afde1b6f52,620,551d8e0520e5ee68e0f385434b8984753c61f62199b9c20feab7dd0c5bbcc63b,True,2025-12-11 13:38:49,
f3a8a4b62b1b23bedcea4bd44f126f66e37253fcf8bc2961836edb88b7bbca16,620,5de1197ecd1c6bf471cd4e9cd793be23adcb9393be84097100d89d7a2071d6c8,True,2025-12-11 13:38:49,
ae4f8bf12b291b4f21214f80e803e066e6fc50c23fb0c79daf04443ddf708852,620,dedc62a37259c433c4074b91449e4e7a441ecb051c5f5970463001cdea004b65,True,2025-12-11 13:38:49,
28539648fddfff64b0a69def0c351bb4aedbfdab603740291ea9ac15924b0de2,620,d14e3ee515574ffd2e8af6db34a9fcab677139b6b1bc113ccec2cd5d3af092bd,True,2025-12-11 13:38:49,
3b709ec3b5277e8e48192227dc7bf5846481fa3eaeee2342b516b415b9b5d9b3,620,0b742c0563185371f13545d43babf192341b95fcbfed5ac675ba946fad15bdb0,True,2025-12-11 13:38:49,
93821ea9723cfb66d3a6da37a7c75237fd9e5f2b8ff5957d3b7140054d939f8d,620,0497f402bf256c6bff846745a070b9401f560a503a652314805c8b6e090d641b,True,2025-12-11 13:38:49,
a9ecf449f128ee6f6c5fbba71d45f18c095f5ea1db9aa648d51025f1d8bc2b63,620,520454faed8c5956faa33cbb1f0394f445ad84321405001629d2aba7bd2bb0f6,True,2025-12-11 13:38:49,
1a26abe9bfca336d2a3e424ac0f4aa631a698dc9359962608a4039d79d783b2c,620,26c8ae7b9448e913ba9ccafd954d45c9a9ae3625130028d81c778384eccc2baf,True,2025-12-11 13:38:49,
5ddb8567d0e41c484ffe2a4bfa15f084cf951f60ae81634111beb53f57f8afdd,620,2c63edec154cec428a8f82d829bfcf97274a349767d83dd4f23d60a6d95aea87,True,2025-12-11 13:38:49,
ef29b2b3525dd52ec744eedd33b577b5fb29e7d5b687b6f9e84ea8a91e705f6d,620,a191930887a88b1b7f13fc35a6cc0424f1858fc3c5eaed5041e3609479c36a99,True,2025-12-11 13:38:49,
d428dc7744b82690c65fd613bcf5db9c0f9960ea58600fdcf095803aecd5fd8c,620,1c614506323d83cdf2c24f63ce58d4fc9949ceb9816d527eee745935a161f7b5,True,2025-12-11 13:38:49,
dbcba9dced2f372a9b4bfee3e602cb32bc5c2046b4de9cf416ca9aab0c623db0,620,41fe5186d7cafd5b21e8355db7ad4c183c3f1dfa11aa86d7345baaf7fc98a787,True,2025-12-11 13:38:49,
fe47dd9e218f17ff6561ee27b994243868b469803759dda34c41499a379d4f5f,620,1f1c7eb4b225de2f8e533231072e0ab38265bc59416513222980adfe6e588710,True,2025-12-11 13:38:49,
