area_name,count,id,is_city,is_regional_center,kladr_code,name,parent_id,region_url
Республика Хакасия,36,691,True,True,1900000100000,Абакан,689,abakan
Республика Татарстан,36,481,True,False,1600800100000,Альметьевск,478,respublika_tatarstan/al~met~evsk
Иркутская область,35,628,True,False,3800000400000,Ангарск,625,irkutskaya_oblast~/angarsk
Архангельская область,44,232,True,True,2900000100000,Архангельск,231,arhangel~sk
Астраханская область,79,290,True,True,3000000100000,Астрахань,288,astrahan~
Москва и область,43,9,True,False,5000003600000,Балашиха,3,moskva_i_oblast~/balasshiha
Алтайский край,108,620,True,True,2200000100000,Барнаул,619,barnaul
Белгородская область,61,92,True,True,3100000100000,Белгород,91,belgorod
Алтайский край,30,621,True,False,2200000400000,Бийск,619,altayskiy_kray/biysk
Амурская область,39,718,True,True,2800000100000,Благовещенск,717,blagovesschensk
Брянская область,51,103,True,True,3200000100000,Брянск,101,bryansk
Новгородская область,40,2398,True,True,5300000100000,Великий Новгород,261,velikiy_novgorod
Приморский край,119,735,True,True,2500000100000,Владивосток,734,vladivostok
Республика Северная Осетия-Алания,40,806,True,True,1500000100000,Владикавказ,804,vladikavkaz
Владимирская область,49,106,True,True,3300000100000,Владимир,105,vladimir
Волгоградская область,134,292,True,True,3400000100000,Волгоград,291,volgograd
Волгоградская область,33,293,True,False,3400000200000,Волжский,291,volgogradskaya_oblast~/volzhskiy
Вологодская область,44,240,True,True,3500000100000,Вологда,239,vologda
Воронежская область,150,133,True,True,3600000100000,Воронеж,118,voronezh
Чеченская Республика,33,810,True,True,2000000100000,Грозный,808,groznyiy
Донецкая Народная Республика,90,14492,True,True,9300100000000,Донецк,14489,donetssk
Свердловская область,261,532,True,True,6600000100000,Екатеринбург,531,ekaterinburg
Ивановская область,63,136,True,True,3700000100000,Иваново,134,ivanovo
Удмуртская Республика,105,508,True,True,1800000100000,Ижевск,507,izhevsk
Иркутская область,115,626,True,True,3800000300000,Иркутск,625,irkutsk
Республика Марий Эл,46,394,True,True,1200000100000,Йошкар-Ола,391,yosshkar-ola
Республика Татарстан,238,479,True,True,1600000100000,Казань,478,kazan~
Калининградская область,112,247,True,True,3900000100000,Калининград,245,kaliningrad
Калужская область,57,140,True,True,4000000100000,Калуга,139,kaluga
Кемеровская область,81,640,True,True,4200000900000,Кемерово,639,kemerovo
Кировская область,90,388,True,True,4300000100000,Киров,385,kirov
Москва и область,30,22,True,False,5000000900000,Королев,3,moskva_i_oblast~/korolev
Костромская область,43,148,True,True,4400000300000,Кострома,146,kostroma
Москва и область,30,13,True,False,5000004900000,Красногорск,3,moskva_i_oblast~/krasnogorsk
Краснодарский край,203,319,True,True,2300000100000,Краснодар,318,krasnodar
Красноярский край,170,657,True,True,2400000100000,Красноярск,656,krasnoyarsk
Курганская область,52,527,True,True,4500000100000,Курган,525,kurgan
Курская область,56,152,True,True,4600000100000,Курск,151,kursk
Липецкая область,76,158,True,True,4800000100000,Липецк,156,lipetssk
Луганская Народная Республика,43,14493,True,True,9400600000000,Луганск,14488,lugansk
Москва и область,33,54,True,False,5005400000000,Люберцы,3,moskva_i_oblast~/lyubertssyi
Челябинская область,75,581,True,False,7400000900000,Магнитогорск,579,chelyabinskaya_oblast~/magnitogorsk
Республика Дагестан,44,791,True,True,0500000100000,Махачкала,788,mahachkala
Москва и область,1932,4,True,True,7700000000000,Москва,3,moskva
Мурманская область,42,252,True,True,5100000100000,Мурманск,251,murmansk
Москва и область,39,67,True,False,5000004400000,Мытищи,3,moskva_i_oblast~/myitisschi
Республика Татарстан,77,480,True,False,1600000200000,Набережные Челны,478,respublika_tatarstan/naberezhnyie_chelnyi
Кабардино-Балкарская Республика,31,799,True,True,0700000100000,Нальчик,797,nal~chik
Ханты-Мансийский автономный округ,36,567,True,False,8600001100000,Нижневартовск,564,hantyi-mansiyskiy_avtonomnyiy_okrug/nizhnevartovsk
Республика Татарстан,34,483,True,False,1603100100000,Нижнекамск,478,respublika_tatarstan/nizhnekamsk
Нижегородская область,187,396,True,True,5200000100000,Нижний Новгород,395,nizhniy_novgorod
Свердловская область,44,534,True,False,6600002300000,Нижний Тагил,531,sverdlovskaya_oblast~/nizhniy_tagil
Кемеровская область,83,641,True,False,4200001200000,Новокузнецк,639,kemerovskaya_oblast~/novokuznetssk
Краснодарский край,44,321,True,False,2300000600000,Новороссийск,318,krasnodarskiy_kray/novorossiysk
Новосибирская область,262,677,True,True,5400000100000,Новосибирск,672,novosibirsk
Москва и область,32,68,True,False,5004200000000,Одинцово,3,moskva_i_oblast~/odintssovo
Омская область,184,680,True,True,5500000100000,Омск,678,omsk
Орловская область,55,163,True,True,5700000100000,Орел,161,orel
Оренбургская область,96,419,True,True,5600000100000,Оренбург,418,orenburg
Пензенская область,90,431,True,True,5800000100000,Пенза,427,penza
Пермский край,155,433,True,True,5900000100000,Пермь,432,perm~
Республика Карелия,39,270,True,True,1000000100000,Петрозаводск,269,petrozavodsk
Камчатский край,30,729,True,True,4100000100000,Петропавловск-Камчатский,726,petropavlovsk-kamchatskiy
Москва и область,45,16,True,False,5000002400000,Подольск,3,moskva_i_oblast~/podol~sk
Ставропольский край,32,818,True,False,2600000700000,Пятигорск,812,stavropol~skiy_kray/pyatigorsk
Ростовская область,174,345,True,True,6100000100000,Ростов-на-Дону,344,rostov-na-donu
Рязанская область,85,169,True,True,6200000100000,Рязань,164,ryazan~
Самарская область,189,489,True,True,6300000100000,Самара,488,samara
Санкт-Петербург и область,815,211,True,True,7800000000000,Санкт-Петербург,210,sankt-peterburg
Республика Мордовия,44,476,True,True,1300000100000,Саранск,473,saransk
Саратовская область,120,498,True,True,6400000100000,Саратов,497,saratov
Севастополь,31,9378,True,True,9200000000000,Севастополь,13117,sevastopol~
Республика Крым,66,9362,True,True,9100000700000,Симферополь,9361,simferopol~
Смоленская область,46,176,True,True,6700000300000,Смоленск,170,smolensk
Краснодарский край,98,320,True,False,2300000700000,Сочи,318,krasnodarskiy_kray/sochi
Ставропольский край,73,813,True,True,2600000100000,Ставрополь,812,stavropol~
Белгородская область,31,93,True,False,3100000200000,Старый Оскол,91,belgorodskaya_oblast~/staryiy_oskol
Республика Башкортостан,32,462,True,False,0200001400000,Стерлитамак,458,respublika_basshkortostan/sterlitamak
Ханты-Мансийский автономный округ,59,566,True,False,8600001000000,Сургут,564,hantyi-mansiyskiy_avtonomnyiy_okrug/surgut
Самарская область,31,492,True,False,6300000800000,Сызрань,488,samarskaya_oblast~/syizran~
Республика Коми,41,278,True,True,1100000100000,Сыктывкар,277,syiktyivkar
Ростовская область,40,347,True,False,6100001100000,Таганрог,344,rostovskaya_oblast~/taganrog
Тамбовская область,41,184,True,True,6800000400000,Тамбов,179,tambov
Тверская область,60,191,True,True,6900000100000,Тверь,185,tver~
Самарская область,105,490,True,False,6300000700000,Тольятти,488,samarskaya_oblast~/tol~yatti
Томская область,81,695,True,True,7000000100000,Томск,694,tomsk
Тульская область,69,194,True,True,7100000100000,Тула,193,tula
Тюменская область,129,561,True,True,7200000100000,Тюмень,560,tyumen~
Республика Бурятия,73,688,True,True,0300000100000,Улан-Удэ,681,ulan-udje
Ульяновская область,80,514,True,True,7300000100000,Ульяновск,513,ul~yanovsk
Республика Башкортостан,172,459,True,True,0200000100000,Уфа,458,ufa
Хабаровский край,104,780,True,True,2700000100000,Хабаровск,779,habarovsk
Москва и область,37,77,True,False,5000003000000,Химки,3,moskva_i_oblast~/himki
Чувашская Республика,60,517,True,True,2100000100000,Чебоксары,516,cheboksaryi
Челябинская область,226,580,True,True,7400000100000,Челябинск,579,chelyabinsk
Вологодская область,42,241,True,False,3500000200000,Череповец,239,vologodskaya_oblast~/cherepovetss
Забайкальский край,55,707,True,True,7500000100000,Чита,699,chita
Сахалинская область,36,778,True,True,6500000100000,Южно-Сахалинск,770,yuzhno-sahalinsk
Республика Саха (Якутия),48,769,True,True,1400000100000,Якутск,763,yakutsk
Ярославская область,88,200,True,True,7600000100000,Ярославль,199,yaroslavl~
