area_name,count,id,is_city,is_regional_center,kladr_code,name,parent_id,region_url
Республика Хакасия,194,691,True,True,1900000100000,Абакан,689,abakan
Луганская Народная Республика,459,14498,True,False,9400000600000,Алчевск,14488,luganskaya_narodnaya_respublika/alchevsk
Донецкая Народная Республика,229,14517,True,False,9301900100000,Амвросиевка,14489,donetsskaya_narodnaya_respublika/amvrosievka
Луганская Народная Республика,457,14538,True,False,9400000700000,Антрацит,14488,luganskaya_narodnaya_respublika/antratssit
Архангельская область,245,232,True,True,2900000100000,Архангельск,231,arhangel~sk
Астраханская область,227,290,True,True,3000000100000,Астрахань,288,astrahan~
Москва и область,199,9,True,False,5000003600000,Балашиха,3,moskva_i_oblast~/balasshiha
Алтайский край,422,620,True,True,2200000100000,Барнаул,619,barnaul
Белгородская область,320,92,True,True,3100000100000,Белгород,91,belgorod
Запорожская область,460,14570,True,False,9000000100000,Бердянск,14490,zaporozhskaya_oblast~/berdyansk
Амурская область,195,718,True,True,2800000100000,Благовещенск,717,blagovesschensk
Луганская Народная Республика,341,14539,True,False,9400000800000,Брянка,14488,luganskaya_narodnaya_respublika/bryanka
Брянская область,308,103,True,True,3200000100000,Брянск,101,bryansk
Новгородская область,243,2398,True,True,5300000100000,Великий Новгород,261,velikiy_novgorod
Приморский край,386,735,True,True,2500000100000,Владивосток,734,vladivostok
Республика Северная Осетия-Алания,189,806,True,True,1500000100000,Владикавказ,804,vladikavkaz
Владимирская область,318,106,True,True,3300000100000,Владимир,105,vladimir
Волгоградская область,603,292,True,True,3400000100000,Волгоград,291,volgograd
Вологодская область,199,240,True,True,3500000100000,Вологда,239,vologda
Воронежская область,664,133,True,True,3600000100000,Воронеж,118,voronezh
Херсонская область,231,14572,True,False,9500400100000,Геническ,14491,hersonskaya_oblast~/genichesk
Донецкая Народная Республика,1024,14501,True,False,9300000700000,Горловка,14489,donetsskaya_narodnaya_respublika/gorlovka
Чеченская Республика,607,810,True,True,2000000100000,Грозный,808,groznyiy
Донецкая Народная Республика,228,14521,True,False,9301700000000,Дебальцево,14489,donetsskaya_narodnaya_respublika/debal~tssevo
Донецкая Народная Республика,228,14522,True,False,9300001100000,Докучаевск,14489,donetsskaya_narodnaya_respublika/dokuchaevsk
Донецкая Народная Республика,3902,14492,True,True,9300100000000,Донецк,14489,donetssk
Ростовская область,789,2807,True,False,6100000600000,Донецк,344,rostovskaya_oblast~/donetssk
Свердловская область,894,532,True,True,6600000100000,Екатеринбург,531,ekaterinburg
Донецкая Народная Республика,570,14523,True,False,9301000000000,Енакиево,14489,donetsskaya_narodnaya_respublika/enakievo
Ивановская область,324,136,True,True,3700000100000,Иваново,134,ivanovo
Удмуртская Республика,515,508,True,True,1800000100000,Ижевск,507,izhevsk
Иркутская область,377,626,True,True,3800000300000,Иркутск,625,irkutsk
Республика Марий Эл,251,394,True,True,1200000100000,Йошкар-Ола,391,yosshkar-ola
Республика Татарстан,856,479,True,True,1600000100000,Казань,478,kazan~
Калининградская область,416,247,True,True,3900000100000,Калининград,245,kaliningrad
Калужская область,208,140,True,True,4000000100000,Калуга,139,kaluga
Кировская область,407,388,True,True,4300000100000,Киров,385,kirov
Костромская область,198,148,True,True,4400000300000,Кострома,146,kostroma
Краснодарский край,839,319,True,True,2300000100000,Краснодар,318,krasnodar
Луганская Народная Республика,401,14536,True,False,9400700000000,Краснодон,14488,luganskaya_narodnaya_respublika/krasnodon
