area_name,count,id,is_city,is_regional_center,kladr_code,name,parent_id,region_url
Республика Хакасия,208,691,True,True,1900000100000,Абакан,689,abakan
Луганская Народная Республика,462,14498,True,False,9400000600000,Алчевск,14488,luganskaya_narodnaya_respublika/alchevsk
Донецкая Народная Республика,230,14517,True,False,9301900100000,Амвросиевка,14489,donetsskaya_narodnaya_respublika/amvrosievka
Луганская Народная Республика,461,14538,True,False,9400000700000,Антрацит,14488,luganskaya_narodnaya_respublika/antratssit
Архангельская область,259,232,True,True,2900000100000,Архангельск,231,arhangel~sk
Астраханская область,269,290,True,True,3000000100000,Астрахань,288,astrahan~
Москва и область,230,9,True,False,5000003600000,Балашиха,3,moskva_i_oblast~/balasshiha
Алтайский край,468,620,True,True,2200000100000,Барнаул,619,barnaul
Белгородская область,351,92,True,True,3100000100000,Белгород,91,belgorod
Запорожская область,467,14570,True,False,9000000100000,Бердянск,14490,zaporozhskaya_oblast~/berdyansk
Амурская область,209,718,True,True,2800000100000,Благовещенск,717,blagovesschensk
Луганская Народная Республика,342,14539,True,False,9400000800000,Брянка,14488,luganskaya_narodnaya_respublika/bryanka
Брянская область,345,103,True,True,3200000100000,Брянск,101,bryansk
Новгородская область,258,2398,True,True,5300000100000,Великий Новгород,261,velikiy_novgorod
Приморский край,422,735,True,True,2500000100000,Владивосток,734,vladivostok
Республика Северная Осетия-Алания,215,806,True,True,1500000100000,Владикавказ,804,vladikavkaz
Владимирская область,343,106,True,True,3300000100000,Владимир,105,vladimir
Волгоградская область,654,292,True,True,3400000100000,Волгоград,291,volgograd
Вологодская область,221,240,True,True,3500000100000,Вологда,239,vologda
Воронежская область,768,133,True,True,3600000100000,Воронеж,118,voronezh
Херсонская область,235,14572,True,False,9500400100000,Геническ,14491,hersonskaya_oblast~/genichesk
Донецкая Народная Республика,1026,14501,True,False,9300000700000,Горловка,14489,donetsskaya_narodnaya_respublika/gorlovka
Чеченская Республика,640,810,True,True,2000000100000,Грозный,808,groznyiy
Донецкая Народная Республика,229,14521,True,False,9301700000000,Дебальцево,14489,donetsskaya_narodnaya_respublika/debal~tssevo
Донецкая Народная Республика,230,14522,True,False,9300001100000,Докучаевск,14489,donetsskaya_narodnaya_respublika/dokuchaevsk
Ростовская область,806,2807,True,False,6100000600000,Донецк,344,rostovskaya_oblast~/donetssk
Донецкая Народная Республика,3904,14492,True,True,9300100000000,Донецк,14489,donetssk
Свердловская область,987,532,True,True,6600000100000,Екатеринбург,531,ekaterinburg
Донецкая Народная Республика,574,14523,True,False,9301000000000,Енакиево,14489,donetsskaya_narodnaya_respublika/enakievo
Ивановская область,357,136,True,True,3700000100000,Иваново,134,ivanovo
Удмуртская Республика,585,508,True,True,1800000100000,Ижевск,507,izhevsk
Иркутская область,411,626,True,True,3800000300000,Иркутск,625,irkutsk
Республика Марий Эл,280,394,True,True,1200000100000,Йошкар-Ола,391,yosshkar-ola
Республика Татарстан,992,479,True,True,1600000100000,Казань,478,kazan~
Калининградская область,471,247,True,True,3900000100000,Калининград,245,kaliningrad
Калужская область,243,140,True,True,4000000100000,Калуга,139,kaluga
Кемеровская область,218,640,True,True,4200000900000,Кемерово,639,kemerovo
Кировская область,435,388,True,True,4300000100000,Киров,385,kirov
Костромская область,213,148,True,True,4400000300000,Кострома,146,kostroma
Краснодарский край,1011,319,True,True,2300000100000,Краснодар,318,krasnodar
Луганская Народная Республика,404,14536,True,False,9400700000000,Краснодон,14488,luganskaya_narodnaya_respublika/krasnodon
Красноярский край,559,657,True,True,2400000100000,Красноярск,656,krasnoyarsk
Курганская область,234,527,True,True,4500000100000,Курган,525,kurgan
Курская область,338,152,True,True,4600000100000,Курск,151,kursk
Липецкая область,323,158,True,True,4800000100000,Липецк,156,lipetssk
Луганская Народная Республика,2307,14493,True,True,9400600000000,Луганск,14488,lugansk
Челябинская область,252,581,True,False,7400000900000,Магнитогорск,579,chelyabinskaya_oblast~/magnitogorsk
Донецкая Народная Республика,1663,14500,True,False,9300000200000,Макеевка,14489,donetsskaya_narodnaya_respublika/makeevka
Донецкая Народная Республика,1384,14496,True,False,9300000100000,Мариуполь,14489,donetsskaya_narodnaya_respublika/mariupol~
Республика Дагестан,322,791,True,True,0500000100000,Махачкала,788,mahachkala
Запорожская область,981,14505,True,True,9000000200000,Мелитополь,14490,melitopol~
Москва и область,8420,4,True,True,7700000000000,Москва,3,moskva
Республика Татарстан,270,480,True,False,1600000200000,Набережные Челны,478,respublika_tatarstan/naberezhnyie_chelnyi
Кабардино-Балкарская Республика,250,799,True,True,0700000100000,Нальчик,797,nal~chik
Нижегородская область,1046,396,True,True,5200100000000,Нижний Новгород,395,nizhniy_novgorod
Кемеровская область,296,641,True,False,4200001200000,Новокузнецк,639,kemerovskaya_oblast~/novokuznetssk
Новосибирская область,1137,677,True,True,5400000100000,Новосибирск,672,novosibirsk
Омская область,720,680,True,True,5500000100000,Омск,678,omsk
Орловская область,443,163,True,True,5700000100000,Орел,161,orel
Оренбургская область,511,419,True,True,5600000100000,Оренбург,418,orenburg
Пензенская область,434,431,True,True,5800000100000,Пенза,427,penza
Пермский край,512,433,True,True,5900000100000,Пермь,432,perm~
Луганская Народная Республика,400,14544,True,False,9400800000000,Петровское (го Красный Луч),14488,luganskaya_narodnaya_respublika/petrovskoe_(go_krasnyiy_luch)
Республика Карелия,257,270,True,True,1000000100000,Петрозаводск,269,petrozavodsk
Луганская Народная Республика,343,14545,True,False,9400000200000,Ровеньки,14488,luganskaya_narodnaya_respublika/roven~ki
Ростовская область,731,345,True,True,6100000100000,Ростов-на-Дону,344,rostov-na-donu
Рязанская область,661,169,True,True,6200000100000,Рязань,164,ryazan~
Самарская область,864,489,True,True,6300000100000,Самара,488,samara
Санкт-Петербург и область,3288,211,True,True,7800000000000,Санкт-Петербург,210,sankt-peterburg
Республика Мордовия,332,476,True,True,1300000100000,Саранск,473,saransk
Саратовская область,578,498,True,True,6400000100000,Саратов,497,saratov
Луганская Народная Республика,460,14551,True,False,9400100000000,Свердловск,14488,luganskaya_narodnaya_respublika/sverdlovsk
Севастополь,309,9378,True,True,9200000000000,Севастополь,13117,sevastopol~
Луганская Народная Республика,228,14753,True,False,9400000400000,Северодонецк,14488,luganskaya_narodnaya_respublika/severodonetssk
Республика Крым,264,9362,True,True,9100000700000,Симферополь,9361,simferopol~
Смоленская область,216,176,True,True,6700000300000,Смоленск,170,smolensk
Донецкая Народная Республика,400,14514,True,False,9300001300000,Снежное,14489,donetsskaya_narodnaya_respublika/snezhnoe
Краснодарский край,370,320,True,False,2300000700000,Сочи,318,krasnodarskiy_kray/sochi
Ставропольский край,378,813,True,True,2600000100000,Ставрополь,812,stavropol~
Луганская Народная Республика,235,14569,True,False,9401400100000,Старобельск,14488,luganskaya_narodnaya_respublika/starobel~sk
Луганская Народная Республика,403,14553,True,False,9401700000000,Стаханов,14488,luganskaya_narodnaya_respublika/stahanov
Республика Коми,219,278,True,True,1100000100000,Сыктывкар,277,syiktyivkar
Тамбовская область,270,184,True,True,6800000400000,Тамбов,179,tambov
Тверская область,302,191,True,True,6900000100000,Тверь,185,tver~
Самарская область,508,490,True,False,6300000700000,Тольятти,488,samarskaya_oblast~/tol~yatti
Томская область,441,695,True,True,7000000100000,Томск,694,tomsk
Донецкая Народная Республика,403,14515,True,False,9300001000000,Торез,14489,donetsskaya_narodnaya_respublika/torez
Тульская область,426,194,True,True,7100000100000,Тула,193,tula
Тюменская область,456,561,True,True,7200000100000,Тюмень,560,tyumen~
Республика Бурятия,253,688,True,True,0300000100000,Улан-Удэ,681,ulan-udje
Ульяновская область,320,514,True,True,7300000100000,Ульяновск,513,ul~yanovsk
Республика Башкортостан,717,459,True,True,0200000100000,Уфа,458,ufa
Хабаровский край,355,780,True,True,2700000100000,Хабаровск,779,habarovsk
Донецкая Народная Республика,742,14516,True,False,9300900000000,Харцызск,14489,donetsskaya_narodnaya_respublika/hartssyizsk
Чувашская Республика,355,517,True,True,2100000100000,Чебоксары,516,cheboksaryi
Челябинская область,872,580,True,True,7400000100000,Челябинск,579,chelyabinsk
Забайкальский край,282,707,True,True,7500000100000,Чита,699,chita
Донецкая Народная Республика,346,14556,True,False,9301200300000,Шахтерск,14489,donetsskaya_narodnaya_respublika/shahtersk
Республика Саха (Якутия),216,769,True,True,1400000100000,Якутск,763,yakutsk
Ярославская область,729,200,True,True,7600000100000,Ярославль,199,yaroslavl~
