area_name,count,id,is_city,is_regional_center,kladr_code,name,parent_id,region_url
Республика Хакасия,34,691,True,True,1900000100000,Абакан,689,abakan
Республика Татарстан,33,481,True,False,1600800100000,Альметьевск,478,respublika_tatarstan/al~met~evsk
Иркутская область,31,628,True,False,3800000400000,Ангарск,625,irkutskaya_oblast~/angarsk
Архангельская область,40,232,True,True,2900000100000,Архангельск,231,arhangel~sk
Астраханская область,76,290,True,True,3000000100000,Астрахань,288,astrahan~
Москва и область,41,9,True,False,5000003600000,Балашиха,3,moskva_i_oblast~/balasshiha
Алтайский край,101,620,True,True,2200000100000,Барнаул,619,barnaul
Белгородская область,60,92,True,True,3100000100000,Белгород,91,belgorod
Амурская область,35,718,True,True,2800000100000,Благовещенск,717,blagovesschensk
Брянская область,48,103,True,True,3200000100000,Брянск,101,bryansk
Новгородская область,36,2398,True,True,5300000100000,Великий Новгород,261,velikiy_novgorod
Приморский край,116,735,True,True,2500000100000,Владивосток,734,vladivostok
Республика Северная Осетия-Алания,38,806,True,True,1500000100000,Владикавказ,804,vladikavkaz
Владимирская область,49,106,True,True,3300000100000,Владимир,105,vladimir
Волгоградская область,126,292,True,True,3400000100000,Волгоград,291,volgograd
Волгоградская область,33,293,True,False,3400000200000,Волжский,291,volgogradskaya_oblast~/volzhskiy
Вологодская область,43,240,True,True,3500000100000,Вологда,239,vologda
Воронежская область,145,133,True,True,3600000100000,Воронеж,118,voronezh
Чеченская Республика,32,810,True,True,2000000100000,Грозный,808,groznyiy
Москва и область,30,11,True,False,5004500000000,Дмитров,3,moskva_i_oblast~/dmitrov
Донецкая Народная Республика,94,14492,True,True,9300100000000,Донецк,14489,donetssk
Свердловская область,243,532,True,True,6600000100000,Екатеринбург,531,ekaterinburg
Ивановская область,58,136,True,True,3700000100000,Иваново,134,ivanovo
Удмуртская Республика,99,508,True,True,1800000100000,Ижевск,507,izhevsk
Иркутская область,110,626,True,True,3800000300000,Иркутск,625,irkutsk
Республика Марий Эл,43,394,True,True,1200000100000,Йошкар-Ола,391,yosshkar-ola
Республика Татарстан,230,479,True,True,1600000100000,Казань,478,kazan~
Калининградская область,104,247,True,True,3900000100000,Калининград,245,kaliningrad
Калужская область,54,140,True,True,4000000100000,Калуга,139,kaluga
Кемеровская область,79,640,True,True,4200000900000,Кемерово,639,kemerovo
Кировская область,87,388,True,True,4300000100000,Киров,385,kirov
Москва и область,30,22,True,False,5000000900000,Королев,3,moskva_i_oblast~/korolev
Костромская область,38,148,True,True,4400000300000,Кострома,146,kostroma
Москва и область,31,13,True,False,5000004900000,Красногорск,3,moskva_i_oblast~/krasnogorsk
Краснодарский край,200,319,True,True,2300000100000,Краснодар,318,krasnodar
Красноярский край,162,657,True,True,2400000100000,Красноярск,656,krasnoyarsk
Курганская область,48,527,True,True,4500000100000,Курган,525,kurgan
Курская область,51,152,True,True,4600000100000,Курск,151,kursk
Липецкая область,72,158,True,True,4800000100000,Липецк,156,lipetssk
Луганская Народная Республика,49,14493,True,True,9400600000000,Луганск,14488,lugansk
Москва и область,38,54,True,False,5005400000000,Люберцы,3,moskva_i_oblast~/lyubertssyi
Челябинская область,70,581,True,False,7400000900000,Магнитогорск,579,chelyabinskaya_oblast~/magnitogorsk
Донецкая Народная Республика,33,14500,True,False,9300000200000,Макеевка,14489,donetsskaya_narodnaya_respublika/makeevka
